"UTM.EW","UTM.NS","Precipitation","Elevation","Age.cat","Geology"
625753.967,1011568.985,2530,120,"c3","Tb"
625753.967,1011668.985,2530,120,"c3","Tb"
625753.967,1011768.985,2530,120,"c3","Tb"
625753.967,1011868.985,2530,120,"c3","Tb"
625753.967,1011968.985,2530,120,"c3","Tb"
625853.967,1011568.985,2530,120,"c3","Tb"
625853.967,1011668.985,2530,120,"c3","Tb"
625853.967,1011768.985,2530,120,"c3","Tb"
625853.967,1011868.985,2530,120,"c3","Tb"
625853.967,1011968.985,2530,120,"c3","Tb"
625953.967,1011568.985,2530,120,"c3","Tb"
625953.967,1011668.985,2530,120,"c3","Tb"
625953.967,1011768.985,2530,120,"c3","Tb"
625953.967,1011868.985,2530,120,"c3","Tb"
625953.967,1011968.985,2530,120,"c3","Tb"
626053.967,1011568.985,2530,120,"c3","Tb"
626053.967,1011668.985,2530,120,"c3","Tb"
626053.967,1011768.985,2530,120,"c3","Tb"
626053.967,1011868.985,2530,120,"c3","Tb"
626053.967,1011968.985,2530,120,"c3","Tb"
626153.967,1011568.985,2530,120,"c3","Tb"
626153.967,1011668.985,2530,120,"c3","Tb"
626153.967,1011768.985,2530,120,"c3","Tb"
626153.967,1011868.985,2530,120,"c3","Tb"
626153.967,1011968.985,2530,120,"c3","Tb"
626253.967,1011568.985,2530,120,"c3","Tb"
626253.967,1011668.985,2530,120,"c3","Tb"
626253.967,1011768.985,2530,120,"c3","Tb"
626253.967,1011868.985,2530,120,"c3","Tb"
626253.967,1011968.985,2530,120,"c3","Tb"
626353.967,1011568.985,2530,120,"c3","Tb"
626353.967,1011668.985,2530,120,"c3","Tb"
626353.967,1011768.985,2530,120,"c2","Tb"
626353.967,1011868.985,2530,120,"c3","Tb"
626353.967,1011968.985,2530,120,"c3","Tb"
626453.967,1011568.985,2530,120,"c3","Tb"
626453.967,1011668.985,2530,120,"c3","Tb"
626453.967,1011768.985,2530,120,"c3","Tb"
626453.967,1011868.985,2530,120,"c3","Tb"
626453.967,1011968.985,2530,120,"c3","Tb"
626553.967,1011568.985,2530,120,"c3","Tb"
626553.967,1011668.985,2530,120,"c3","Tb"
626553.967,1011768.985,2530,120,"c3","Tb"
626553.967,1011868.985,2530,120,"c3","Tb"
626553.967,1011968.985,2530,120,"c3","Tb"
626653.967,1011568.985,2530,120,"c3","Tb"
626653.967,1011668.985,2530,120,"c3","Tb"
626653.967,1011768.985,2530,120,"c3","Tb"
626653.967,1011868.985,2530,120,"c3","Tb"
626653.967,1011968.985,2530,120,"c3","Tb"
