"plot","year","record_id","corner","scale","richness","easting","northing","slope","ph","yrsslb"
205,1998,187,NA,100,60,727000,4080000,3,6.9,0.39
205,1998,188,1,10,36,727000,4080000,3,6.9,0.39
205,1998,189,2,10,34,727000,4080000,3,6.9,0.39
205,1998,190,3,10,37,727000,4080000,3,6.9,0.39
205,1998,191,4,10,33,727000,4080000,3,6.9,0.39
205,1998,192,1,1,21,727000,4080000,3,6.9,0.39
205,1998,193,2,1,23,727000,4080000,3,6.9,0.39
205,1998,194,3,1,19,727000,4080000,3,6.9,0.39
205,1998,195,4,1,25,727000,4080000,3,6.9,0.39
205,1998,196,1,0.1,10,727000,4080000,3,6.9,0.39
205,1998,197,2,0.1,14,727000,4080000,3,6.9,0.39
205,1998,198,3,0.1,15,727000,4080000,3,6.9,0.39
205,1998,199,4,0.1,10,727000,4080000,3,6.9,0.39
205,1998,200,1,0.01,5,727000,4080000,3,6.9,0.39
205,1998,201,2,0.01,3,727000,4080000,3,6.9,0.39
205,1998,202,3,0.01,5,727000,4080000,3,6.9,0.39
205,1998,203,4,0.01,4,727000,4080000,3,6.9,0.39
205,1999,204,NA,100,78,727000,4080000,3,7,1.34
205,1999,205,1,10,47,727000,4080000,3,7,1.34
205,1999,206,2,10,42,727000,4080000,3,7,1.34
205,1999,207,3,10,50,727000,4080000,3,7,1.34
205,1999,208,4,10,51,727000,4080000,3,7,1.34
205,1999,209,1,1,31,727000,4080000,3,7,1.34
205,1999,210,2,1,32,727000,4080000,3,7,1.34
205,1999,211,3,1,35,727000,4080000,3,7,1.34
205,1999,212,4,1,31,727000,4080000,3,7,1.34
205,1999,213,1,0.1,18,727000,4080000,3,7,1.34
205,1999,214,2,0.1,11,727000,4080000,3,7,1.34
205,1999,215,3,0.1,17,727000,4080000,3,7,1.34
205,1999,216,4,0.1,15,727000,4080000,3,7,1.34
205,1999,217,1,0.01,4,727000,4080000,3,7,1.34
205,1999,218,2,0.01,8,727000,4080000,3,7,1.34
205,1999,219,3,0.01,3,727000,4080000,3,7,1.34
205,1999,220,4,0.01,6,727000,4080000,3,7,1.34
205,2000,221,NA,100,75,727000,4080000,3,6.7,2.37
205,2000,222,1,10,41,727000,4080000,3,6.7,2.37
205,2000,223,2,10,43,727000,4080000,3,6.7,2.37
205,2000,224,3,10,41,727000,4080000,3,6.7,2.37
205,2000,225,4,10,49,727000,4080000,3,6.7,2.37
205,2000,226,1,1,25,727000,4080000,3,6.7,2.37
205,2000,227,2,1,33,727000,4080000,3,6.7,2.37
205,2000,228,3,1,22,727000,4080000,3,6.7,2.37
205,2000,229,4,1,33,727000,4080000,3,6.7,2.37
205,2000,230,1,0.1,16,727000,4080000,3,6.7,2.37
205,2000,231,2,0.1,13,727000,4080000,3,6.7,2.37
205,2000,232,3,0.1,11,727000,4080000,3,6.7,2.37
205,2000,233,4,0.1,12,727000,4080000,3,6.7,2.37
205,2000,234,1,0.01,6,727000,4080000,3,6.7,2.37
205,2000,235,2,0.01,6,727000,4080000,3,6.7,2.37
205,2000,236,3,0.01,2,727000,4080000,3,6.7,2.37
205,2000,237,4,0.01,3,727000,4080000,3,6.7,2.37
205,2001,238,NA,100,78,727000,4080000,3,7,3.35
205,2001,239,1,10,46,727000,4080000,3,7,3.35
205,2001,240,2,10,47,727000,4080000,3,7,3.35
205,2001,241,3,10,37,727000,4080000,3,7,3.35
205,2001,242,4,10,53,727000,4080000,3,7,3.35
205,2001,243,1,1,26,727000,4080000,3,7,3.35
205,2001,244,2,1,23,727000,4080000,3,7,3.35
205,2001,245,3,1,26,727000,4080000,3,7,3.35
205,2001,246,4,1,25,727000,4080000,3,7,3.35
205,2001,247,1,0.1,13,727000,4080000,3,7,3.35
205,2001,248,2,0.1,9,727000,4080000,3,7,3.35
205,2001,249,3,0.1,10,727000,4080000,3,7,3.35
205,2001,250,4,0.1,11,727000,4080000,3,7,3.35
205,2001,251,1,0.01,3,727000,4080000,3,7,3.35
205,2001,252,2,0.01,4,727000,4080000,3,7,3.35
205,2001,253,3,0.01,4,727000,4080000,3,7,3.35
205,2001,254,4,0.01,5,727000,4080000,3,7,3.35
205,2002,255,NA,100,84,727000,4080000,3,7,4.35
205,2002,256,1,10,44,727000,4080000,3,7,4.35
205,2002,257,2,10,54,727000,4080000,3,7,4.35
205,2002,258,3,10,49,727000,4080000,3,7,4.35
205,2002,259,4,10,53,727000,4080000,3,7,4.35
205,2002,260,1,1,18,727000,4080000,3,7,4.35
205,2002,261,2,1,28,727000,4080000,3,7,4.35
205,2002,262,3,1,28,727000,4080000,3,7,4.35
205,2002,263,4,1,35,727000,4080000,3,7,4.35
205,2002,264,1,0.1,15,727000,4080000,3,7,4.35
205,2002,265,2,0.1,19,727000,4080000,3,7,4.35
205,2002,266,3,0.1,13,727000,4080000,3,7,4.35
205,2002,267,4,0.1,15,727000,4080000,3,7,4.35
205,2002,268,1,0.01,3,727000,4080000,3,7,4.35
205,2002,269,2,0.01,9,727000,4080000,3,7,4.35
205,2002,270,3,0.01,5,727000,4080000,3,7,4.35
205,2002,271,4,0.01,7,727000,4080000,3,7,4.35
205,2003,272,NA,100,78,727000,4080000,3,7,5.37
205,2003,273,1,10,47,727000,4080000,3,7,5.37
205,2003,274,2,10,48,727000,4080000,3,7,5.37
205,2003,275,3,10,44,727000,4080000,3,7,5.37
205,2003,276,4,10,49,727000,4080000,3,7,5.37
205,2003,277,1,1,23,727000,4080000,3,7,5.37
205,2003,278,2,1,28,727000,4080000,3,7,5.37
205,2003,279,3,1,24,727000,4080000,3,7,5.37
205,2003,280,4,1,32,727000,4080000,3,7,5.37
205,2003,281,1,0.1,18,727000,4080000,3,7,5.37
205,2003,282,2,0.1,15,727000,4080000,3,7,5.37
205,2003,283,3,0.1,14,727000,4080000,3,7,5.37
205,2003,284,4,0.1,14,727000,4080000,3,7,5.37
205,2003,285,1,0.01,7,727000,4080000,3,7,5.37
205,2003,286,2,0.01,4,727000,4080000,3,7,5.37
205,2003,287,3,0.01,5,727000,4080000,3,7,5.37
205,2003,288,4,0.01,6,727000,4080000,3,7,5.37
205,2004,289,NA,100,72,727000,4080000,3,6.8,6.4
205,2004,290,1,10,42,727000,4080000,3,6.8,6.4
205,2004,291,2,10,41,727000,4080000,3,6.8,6.4
205,2004,292,3,10,42,727000,4080000,3,6.8,6.4
205,2004,293,4,10,44,727000,4080000,3,6.8,6.4
205,2004,294,1,1,18,727000,4080000,3,6.8,6.4
205,2004,295,2,1,29,727000,4080000,3,6.8,6.4
205,2004,296,3,1,22,727000,4080000,3,6.8,6.4
205,2004,297,4,1,27,727000,4080000,3,6.8,6.4
205,2004,298,1,0.1,10,727000,4080000,3,6.8,6.4
205,2004,299,2,0.1,15,727000,4080000,3,6.8,6.4
205,2004,300,3,0.1,13,727000,4080000,3,6.8,6.4
205,2004,301,4,0.1,8,727000,4080000,3,6.8,6.4
205,2004,302,1,0.01,3,727000,4080000,3,6.8,6.4
205,2004,303,2,0.01,6,727000,4080000,3,6.8,6.4
205,2004,304,3,0.01,6,727000,4080000,3,6.8,6.4
205,2004,305,4,0.01,5,727000,4080000,3,6.8,6.4
205,2005,306,NA,100,77,727000,4080000,3,6.8,7.36
205,2005,307,1,10,42,727000,4080000,3,6.8,7.36
205,2005,308,2,10,38,727000,4080000,3,6.8,7.36
205,2005,309,3,10,47,727000,4080000,3,6.8,7.36
205,2005,310,4,10,46,727000,4080000,3,6.8,7.36
205,2005,311,1,1,19,727000,4080000,3,6.8,7.36
205,2005,312,2,1,24,727000,4080000,3,6.8,7.36
205,2005,313,3,1,23,727000,4080000,3,6.8,7.36
205,2005,314,4,1,25,727000,4080000,3,6.8,7.36
205,2005,315,1,0.1,13,727000,4080000,3,6.8,7.36
205,2005,316,2,0.1,9,727000,4080000,3,6.8,7.36
