plotID,date,plotsize,spcode,species,cover,utme,utmn,elev,tci,streamdist,disturb,beers
ATBN-01-0403,08-28-2001,1000,ABIEFRA,Abies fraseri,1,275736,3942439,1660,5.70145988,490.9,CORPLOG,0.22442864
ATBN-01-0532,07-24-2002,1000,ABIEFRA,Abies fraseri,8,302847,3942772,1712,3.82358599,454,VIRGIN,0.83408785
ATBN-01-0533,07-24-2002,1000,ABIEFRA,Abies fraseri,3,303037,3943039,1722,3.89376211,453.4,LT-SEL,1.33325863
ATBN-01-0536,07-25-2002,1000,ABIEFRA,Abies fraseri,3,273927,3935488,1754,3.14552689,492.5,SETTLE,1.47124839
ATBP-01-0001,05-11-1999,10000,ABIEFRA,Abies fraseri,8,273857,3937870,1945,5.68206501,492.4,VIRGIN,1.64377141
ATBP-01-0005,08-25-1999,10000,ABIEFRA,Abies fraseri,4,273876,3935462,1751,5.41718197,545.9,SETTLE,0.00032873
ATBP-01-0007,06-08-1999,5000,ABIEFRA,Abies fraseri,5,279502,3948220,1967,5.66765404,528.9,VIRGIN,1.97855973
ATBP-01-0008,08-05-1999,5000,ABIEFRA,Abies fraseri,2,278491,3948240,1935,4.62679195,463.2,VIRGIN,1.43602169
DSLM-01-0002,00-00-1972,800,ABIEFRA,Abies fraseri,3,278034,3939639,1475,4.81182003,284.3,VIRGIN,1.63963902
DSLM-01-0004,00-00-1972,800,ABIEFRA,Abies fraseri,3,277981,3939538,1479,5.1713748,169.7,VIRGIN,0.72596312
DSLM-01-0006,00-00-1972,800,ABIEFRA,Abies fraseri,3,268453,3938646,1631,5.06719112,226.3,VIRGIN,1.99433064
DSLM-01-0008,00-00-1972,800,ABIEFRA,Abies fraseri,3,278900,3942937,1531,5.76710176,100,VIRGIN,0.00006311
DSLM-01-0010,00-00-1972,800,ABIEFRA,Abies fraseri,4,268448,3938798,1602,4.35585213,170.3,VIRGIN,1.99559772
DSLM-01-0011,00-00-1972,800,ABIEFRA,Abies fraseri,3,277852,3940109,1581,5.41771984,402.2,VIRGIN,1.83788133
DSLM-01-0013,00-00-1972,800,ABIEFRA,Abies fraseri,3,277178,3943475,1478,4.73995209,130.4,VIRGIN,0.00065619
DSLM-01-0024,00-00-1972,800,ABIEFRA,Abies fraseri,3,277869,3943358,1560,5.68969488,131.5,VIRGIN,0.10741269
DSLM-01-0027,00-00-1972,800,ABIEFRA,Abies fraseri,3,279282,3942627,1552,4.73286581,291.5,VIRGIN,0.05336675
DSLM-01-0029,00-00-1972,800,ABIEFRA,Abies fraseri,3,277442,3943409,1506,5.8203392,114,VIRGIN,0.00487236
DSLM-01-0037,00-00-1972,800,ABIEFRA,Abies fraseri,3,277996,3939442,1428,5.56561089,107.7,VIRGIN,0.57186705
DSLM-01-0081,00-00-1972,800,ABIEFRA,Abies fraseri,3,268494,3938768,1589,4.98169279,126.5,VIRGIN,1.88765931
