"plotID","spcode","species","cover","elev","tci","streamdist","disturb","beers"
"ATBN-01-0403","ABIEFRA","Abies fraseri",1,1660,5.70145988,490.9,"CORPLOG",0.22442864
"ATBN-01-0532","ABIEFRA","Abies fraseri",8,1712,3.82358599,454,"VIRGIN",0.83408785
"ATBN-01-0533","ABIEFRA","Abies fraseri",3,1722,3.89376211,453.4,"LT-SEL",1.33325863
"ATBN-01-0536","ABIEFRA","Abies fraseri",3,1754,3.14552689,492.5,"SETTLE",1.47124839
"FRID-01-0003","ABIEFRA","Abies fraseri",5,1570,11.85,0,"LT-SEL",0.4961189
"PITT-01-0045","ABIEFRA","Abies fraseri",2,1504,4.37374115,237.1,"VIRGIN",1.65584207
"UFRL-04-00A1","ABIEFRA","Abies fraseri",4,1788,8.19665146,340.1,"VIRGIN",0.64475149
"UFRL-06-0133","ABIEFRA","Abies fraseri",8,1918,5.62233591,526.3,"VIRGIN",1.44500017
"UFRL-06-0133","ABIEFRA","Abies fraseri",8,1929,5.61357498,563.6,"VIRGIN",1.4972105
"UFRL-06-0133","ABIEFRA","Abies fraseri",5,1918,5.62233591,526.3,"VIRGIN",1.44500017
"UFRL-06-0133","ABIEFRA","Abies fraseri",5,1929,5.61357498,563.6,"VIRGIN",1.4972105
"UFRL-06-0134","ABIEFRA","Abies fraseri",8,1888,5.75559282,836.5,"VIRGIN",1.26651835
"UFRL-06-0134","ABIEFRA","Abies fraseri",8,1871,5.83612823,770.6,"VIRGIN",1.04116046
"UFRL-06-0134","ABIEFRA","Abies fraseri",3,1888,5.75559282,836.5,"VIRGIN",1.26651835
"UFRL-06-0134","ABIEFRA","Abies fraseri",3,1871,5.83612823,770.6,"VIRGIN",1.04116046
"UFRL-06-0135","ABIEFRA","Abies fraseri",9,1986,3.81454206,523.5,"VIRGIN",1.95193851
"UFRL-06-0135","ABIEFRA","Abies fraseri",9,1982,4.35775614,518.7,"VIRGIN",1.82732928
"UFRL-06-0135","ABIEFRA","Abies fraseri",6,1986,3.81454206,523.5,"VIRGIN",1.95193851
"UFRL-06-0135","ABIEFRA","Abies fraseri",6,1982,4.35775614,518.7,"VIRGIN",1.82732928
"UFRL-06-0136","ABIEFRA","Abies fraseri",8,1914,5.89898396,829.3,"VIRGIN",1.24210036
"UFRL-06-0136","ABIEFRA","Abies fraseri",8,1921,6.05268908,798.1,"VIRGIN",1.11031556
"UFRL-06-0136","ABIEFRA","Abies fraseri",8,1914,5.89898396,829.3,"VIRGIN",1.24210036
"UFRL-06-0136","ABIEFRA","Abies fraseri",8,1921,6.05268908,798.1,"VIRGIN",1.11031556
"UFRL-06-0137","ABIEFRA","Abies fraseri",8,1942,4.70868015,460.1,"VIRGIN",1.86987484
"UFRL-06-0137","ABIEFRA","Abies fraseri",8,1960,5.67768621,454,"VIRGIN",1.9790107
"UFRL-06-0137","ABIEFRA","Abies fraseri",9,1942,4.70868015,460.1,"VIRGIN",1.86987484
"UFRL-06-0137","ABIEFRA","Abies fraseri",9,1960,5.67768621,454,"VIRGIN",1.9790107
"UFRL-06-0138","ABIEFRA","Abies fraseri",6,1956,4.23310614,471.7,"VIRGIN",0.27363729
"UFRL-06-0139","ABIEFRA","Abies fraseri",7,1788,8.19665146,340.1,"VIRGIN",0.64475149
"UFRL-06-0139","ABIEFRA","Abies fraseri",7,1810,6.23944187,364,"VIRGIN",1.44686759
"UFRL-06-0139","ABIEFRA","Abies fraseri",6,1788,8.19665146,340.1,"VIRGIN",0.64475149
"UFRL-06-0139","ABIEFRA","Abies fraseri",6,1810,6.23944187,364,"VIRGIN",1.44686759
"ULRY-04-0024","ABIEFRA","Abies fraseri",5,1715,5.8489151,247,"VIRGIN",0.23344201
"ULRY-04-0025","ABIEFRA","Abies fraseri",5,1804,4.42385101,460.7,"VIRGIN",1.9410969
"ULRY-04-0026","ABIEFRA","Abies fraseri",8,1850,5.88755512,333.8,"VIRGIN",0.11986513
"ULRY-04-0092","ABIEFRA","Abies fraseri",9,1951,7.43629313,666.1,"VIRGIN",1.12568665
"ULRY-04-0098","ABIEFRA","Abies fraseri",2,1626,5.62136602,451,"VIRGIN",1.66357422
"ULRY-04-0142","ABIEFRA","Abies fraseri",4,1523,5.66990805,161.2,"VIRGIN",1.9708811
