"Genetic ID (suffixes: "".DG"" is a high coverage shotgun genome with diploid genotype calls, "".AG"" is shotgun data with each position in the genome represented by a randomly chosen sequence, "".HO"" is Affymetrix Human Origins genotype data)",Master ID,Skeletal code,Skeletal element,"Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]",Publication abbreviation,doi for publication of this representation of the data,Link to the most permanent repository hosting these data,"Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)","Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]","Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]","Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE","Age at death, Morphological sex from physical anthropology",Group ID,Locality,Political Entity,Lat.,Long.,Pulldown Strategy,Suffices (indicating data types used for sources which can be a subset of that in bam),Data type,No. Libraries,SNPs hit on autosomal targets (Computed using easystats on 1240k snpset),SNPs hit on autosomal targets (Computed using easystats on HO snpset),Molecular Sex,Sum total of ROH segments >4 cM,Sum total of ROH segments >20cM,Y haplogroup in terminal mutation notation automatically called based on Yfull with the software described in Lazaridis et al. Science 2022,Y haplogroup  in ISOGG v15.73 notation automatically called based on Yfull with the software described in Lazaridis et al. Science 2022,Y haplogroup manually called if different from automatic,mtDNA coverage (merged data),mtDNA haplogroup if >2x or published,mtDNA match to consensus if >2x (merged data),Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data),Sex ratio [Y/(Y+X) counts] (merged data),ANGSD MOM 95% CI truncated at 0 (only if male and >=200 SNPs),hapConX 95% CI truncated at 0 (only if male and >=2000 SNPs covered on X chromosome),"Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)",Libraries,endogenous by library (computed on shotgun data),ASSESSMENT,ASSESSMENT WARNING
gene_id,master_id,skel_code,skel_elem,year_pub,pub_abbr,doi,link,date_metho,date_BP,date_err,date_full,age_at_death,group,locality,pol_ent,lat,long,Pulldown Strategy,suffices,data_type,no_lib,snps_1240k,snps_ho,mol_sex,ROH_tot,ROH_tot2,Y_hap,Y_hap2,Y-hap3,mtDNA_cov,mtDNA_hap,mtDNA_match,damage,sex_ratio,angsd,hapconx,lib_type,libs,endo,assess,assess_warn
I0001.AG,Loschbour,Loschbour2,tooth,2014,MathiesonNature2018,doi:10.1038/nature25778,ENA:PRJEB22652,Direct: IntCal20,8025,64,"6221-5986 calBCE (7205±50 BP, OxA-7738)",34-47 yrs,Luxembourg_Mesolithic.AG,Loschbour (Echternach),Luxembourg,49.81,6.4,Native Pulldown on 3.2M snpset,AG,390K,..,463455,366175,M,121.049706,0,I-M423,I2a1a2,..,..,U5b1a,..,..,..,..,"[0.005,0.012]",..,..,..,PASS,"hapConX=[0.005,0.012]"
Kou01.SG,Kou01,Kou01,..,2021,ClementeCell2021,doi:10.1016/j.cell.2021.03.039,ENA:PRJEB37782,Context: Archaeological,4250,173,2600-2000 BCE,..,Greece_Koufonisi_Cycladic_EBA.SG,"Potamia (Cyclades, Epano Koufonisi)",Greece,36.937529,25.60652,Native Pulldown on 3.2M snpset,SG,Shotgun.pulled.down.only.on.1240k.autosomal.targets.-.need.to.make.a.whole.genome.bam,..,1033440,519810,U,15.718106,0,n/a  (sex unknown),n/a  (sex unknown),..,..,..,..,..,..,n/a (sex unknown),n/a (sex unknown),..,..,..,PASS,..
Kou03.SG,Kou03,Kou03,..,2021,ClementeCell2021,doi:10.1016/j.cell.2021.03.039,ENA:PRJEB37782,Context: Archaeological,4250,173,2600-2000 BCE,..,Greece_Koufonisi_Cycladic_EBA.SG,"Potamia (Cyclades, Epano Koufonisi)",Greece,36.937529,25.60652,Native Pulldown on 3.2M snpset,SG,Shotgun.pulled.down.only.on.1240k.autosomal.targets.-.need.to.make.a.whole.genome.bam,..,1072759,546711,F,0,0,n/a  (sex unknown),n/a  (sex unknown),..,..,..,..,..,..,n/a (female),n/a (female),..,..,..,PASS,..
Log02.SG,Log02,Log02,..,2021,ClementeCell2021,doi:10.1016/j.cell.2021.03.039,ENA:PRJEB37782,Context: Archaeological,4250,173,2600-2000 BCE,..,Greece_Logkas_MBA.SG,"Elati-Logkas site (Kozani, Elati) ",Greece,39.980392,21.823641,Native Pulldown on 3.2M snpset,SG,Shotgun,..,1141145,575706,F,6.9067,0,n/a  (sex unknown),n/a  (sex unknown),..,..,..,..,..,..,n/a (female),n/a (female),..,..,..,PASS,..
Log04.SG,Log04,Log04,..,2021,ClementeCell2021,doi:10.1016/j.cell.2021.03.039,ENA:PRJEB37782,Context: Archaeological,4250,173,2600-2000 BCE,..,Greece_Logkas_MBA.SG,"Elati-Logkas site (Kozani, Elati) ",Greece,39.980392,21.823641,Native Pulldown on 3.2M snpset,SG,Shotgun,..,1138096,574634,F,194.344388,102.362692,n/a  (sex unknown),n/a  (sex unknown),..,..,..,..,..,..,n/a (female),n/a (female),..,..,..,PASS,..
Mik15.SG,Mik15,Mik15,..,2021,ClementeCell2021,doi:10.1016/j.cell.2021.03.039,ENA:PRJEB37782,Context: Archaeological,4250,173,2600-2000 BCE,..,Greece_Manika_EBA.SG,"Manika (Euboea island, north of Chalkis)",Greece,38.498226,23.626147,Native Pulldown on 3.2M snpset,SG,Shotgun.pulled.down.only.on.1240k.autosomal.targets.-.need.to.make.a.whole.genome.bam,..,1076504,546093,F,0,0,n/a  (sex unknown),n/a  (sex unknown),..,..,..,..,..,..,n/a (female),n/a (female),..,..,..,PASS,..
Pta08.SG,Pta08,Pta08,..,2021,ClementeCell2021,doi:10.1016/j.cell.2021.03.039,ENA:PRJEB37782,Context: Archaeological,4250,173,2600-2000 BCE,..,Greece_Crete_Kephala_Petras.SG,"Kephala Petras Siteias (eastern Crete, Petras)",Greece,35.197343,26.11498,Native Pulldown on 3.2M snpset,SG,Shotgun,..,1128313,570070,U,6.132793,0,n/a  (sex unknown),n/a  (sex unknown),..,..,..,..,..,..,n/a (sex unknown),n/a (sex unknown),..,..,..,PASS,..
cay004.SG,cay004,cay004,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),8396,58,6591-6269 calBCE (7593±55 BP),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,3,83724,42399,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,2.267,K1a,"[0.92,0.96]",..,..,n/a (female),n/a (female),..,..,..,PASS,"mtcontam=[0.92,0.96]"
cay007.SG,cay007,cay007,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),9375,113,7592-7186 calBCE (8401±95),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,4,450701,232093,M,15.046907,0,J-L26,J2a1a,J2a1a~,19.277,K1a3,"[0.97,1]",..,..,"[0,0.0257]","[0.005,0.019]",..,..,..,PASS,"hapConX=[0.005,0.019]"
cay008.SG,cay008,cay008,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),8641,139,10483-45548 calBCE (7720±112 BP),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,3,93395,48564,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,3.668,T2g,"[0.94,0.98",..,..,n/a (female),n/a (female),..,..,..,PASS,"mtcontam=[0.94,0.98"
cay011.SG,cay011,cay011,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),8369,40,6475-6269 calBCE (7562±38 BP),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,23943,12035,M,n/a (<300K SNPs),n/a (<300K SNPs),G,G,G,1.778,n/a (<2x),n/a (<2x),..,..,..,n/a (<2000 X SNPs),..,..,..,PASS,..
cay012.SG,cay012,cay012,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Context: Archaeological (Neolithic Transition in Southwest Asia),10100,953,9800-6500 BCE,..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,25796,13035,M,n/a (<300K SNPs),n/a (<300K SNPs),C,C,CT (not possible to determine lower breakdown),1.41,n/a (<2x),n/a (<2x),..,..,"[0,0.4319]",n/a (<2000 X SNPs),..,..,..,PASS,..
cay013.SG,cay013,cay013,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),8591,177,8893-8327 calBCE (7744±138 BP),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,3,155759,80876,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,9.773,K1a12a,"[0.96,1]",..,..,n/a (female),n/a (female),..,..,..,PASS,..
cay014.SG,cay014,cay014,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),8908,257,7470-6481 calBCE (8011±199),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,17719,8798,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,1.412,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),..,..,..,PASS,..
cay015.SG,cay015,cay015,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Context: Archaeological (Neolithic Transition in Southwest Asia),10100,953,9800-6500 BCE,..,Turkey_Southeast_Cayonu_PPN_lc.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,13799,6918,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,0.657,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),..,..,..,PASS,..
cay016.SG,cay016,cay016,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),8591,177,8893-8327 calBCE (7744±138 BP),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,44979,22940,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,2.06,K1b1,"[0.91,0.95]",..,..,n/a (female),n/a (female),..,..,..,QUESTIONABLE,"mtcontam=[0.91,0.95]"
cay1820.SG,cay1820,cay1820,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Context: Archaeological (Neolithic Transition in Southwest Asia),10100,953,9800-6500 BCE,..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,15198,7331,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,7.237,K1a4,"[0.95,0.99]",..,..,n/a (female),n/a (female),..,..,..,PASS,..
cay022.SG,cay022,cay022,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Direct: IntCal20 (WARNING: MISSING LAB CODE),7303,88,7467-7089 calBCE (8266±34 BP),..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,15946,7810,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,1.198,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),..,..,..,PASS,..
cay027.SG,cay027,cay027,..,2022,AltınışıkScienceAdvances2022,doi:10.1126/sciadv.abo3609,ENA:PRJEB50507,Context: Archaeological (Neolithic Transition in Southwest Asia),10100,953,9800-6500 BCE,..,Turkey_Southeast_Cayonu_PPN.SG,"Boncuklu (Diyarbakır, Ergani)",Turkey,38.2153007,39.7525788,Native Pulldown on 3.2M snpset,SG,Shotgun,2,23407,11939,F,n/a (<300K SNPs),n/a (<300K SNPs),n/a (female),n/a (female),..,0.516,n/a (<2x),n/a (<2x),..,..,n/a (female),n/a (female),..,..,..,PASS,..
